freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.149e+01,2.547e+02,8.166e+00,2.743e+02
1.6,2.847e+01,1.603e+02,1.136e+01,2.002e+02
3.2,2.892e+01,3.599e+01,9.345e+00,7.425e+01
4.8,2.986e+01,3.968e+02,9.804e+00,4.365e+02
6.4,3.102e+01,1.272e+03,1.108e+01,1.314e+03
8.0,3.015e+01,2.187e+03,1.571e+01,2.233e+03
9.6,3.110e+01,3.788e+03,1.036e+02,3.923e+03
11.2,3.023e+01,4.272e+03,2.658e+02,4.568e+03
12.8,3.287e+01,3.291e+03,8.079e+01,3.405e+03
14.4,3.132e+01,4.926e+03,1.635e+01,4.973e+03
16.0,3.301e+01,7.400e+03,1.635e+01,7.449e+03
17.6,3.547e+01,9.925e+03,2.020e+01,9.981e+03
19.2,3.845e+01,1.251e+04,2.280e+01,1.257e+04
20.8,3.927e+01,1.510e+04,2.585e+01,1.517e+04
22.4,4.122e+01,1.827e+04,3.839e+01,1.835e+04
24.0,5.388e+01,2.176e+04,5.070e+01,2.187e+04
25.6,6.516e+01,2.574e+04,4.294e+01,2.585e+04
27.2,7.199e+01,3.178e+04,3.447e+01,3.189e+04
28.8,8.274e+01,3.888e+04,3.614e+01,3.900e+04
30.4,1.001e+02,4.907e+04,6.186e+01,4.923e+04
32.0,1.458e+02,6.233e+04,1.314e+02,6.261e+04
33.6,2.064e+02,7.345e+04,2.600e+02,7.392e+04
35.2,2.450e+02,7.821e+04,3.915e+02,7.884e+04
36.8,3.347e+02,8.713e+04,4.836e+02,8.795e+04
38.4,5.391e+02,1.065e+05,5.175e+02,1.076e+05
40.0,8.132e+02,1.330e+05,5.083e+02,1.343e+05
41.6,1.045e+03,1.543e+05,4.475e+02,1.558e+05
43.2,1.148e+03,1.900e+05,4.367e+02,1.916e+05
44.8,1.069e+03,2.192e+05,9.321e+02,2.212e+05
46.4,7.026e+02,2.241e+05,2.158e+03,2.270e+05
48.0,4.074e+02,2.782e+05,3.259e+03,2.818e+05
49.6,5.089e+02,2.765e+05,3.309e+03,2.803e+05
51.2,6.811e+02,2.219e+05,5.227e+03,2.278e+05
52.8,7.045e+02,1.795e+05,7.612e+03,1.878e+05
54.4,5.957e+02,1.399e+05,9.934e+03,1.505e+05
55.9,9.273e+02,1.352e+05,1.257e+04,1.487e+05
57.5,1.904e+03,1.435e+05,1.487e+04,1.603e+05
59.1,3.423e+03,1.594e+05,1.738e+04,1.802e+05
60.7,5.202e+03,1.897e+05,1.907e+04,2.140e+05
62.3,6.847e+03,2.402e+05,1.934e+04,2.664e+05
63.9,8.012e+03,2.735e+05,1.850e+04,3.000e+05
65.5,9.165e+03,2.672e+05,1.689e+04,2.933e+05
67.1,9.459e+03,2.186e+05,1.426e+04,2.423e+05
68.7,6.589e+03,1.244e+05,8.909e+03,1.399e+05
70.3,3.091e+03,5.239e+04,4.255e+03,5.974e+04
71.9,6.269e+03,9.486e+04,9.628e+03,1.108e+05
73.5,8.859e+03,1.468e+05,1.375e+04,1.695e+05
75.1,6.812e+03,1.458e+05,1.042e+04,1.631e+05
76.7,4.536e+03,1.175e+05,7.267e+03,1.293e+05
78.3,3.459e+03,1.001e+05,6.223e+03,1.097e+05
79.9,5.062e+03,1.060e+05,8.596e+03,1.197e+05
81.5,7.290e+03,1.189e+05,1.134e+04,1.375e+05
83.1,9.358e+03,1.211e+05,1.135e+04,1.418e+05
84.7,1.177e+04,1.230e+05,1.249e+04,1.473e+05
86.3,1.259e+04,1.312e+05,1.162e+04,1.554e+05
87.9,1.882e+04,1.471e+05,1.076e+04,1.766e+05
89.5,2.136e+04,1.450e+05,1.072e+04,1.770e+05
91.1,1.759e+04,1.430e+05,1.074e+04,1.714e+05
92.7,8.977e+03,1.484e+05,8.126e+03,1.655e+05
94.3,3.706e+03,1.474e+05,5.459e+03,1.566e+05
95.9,5.058e+03,1.476e+05,3.471e+03,1.561e+05
97.5,4.296e+03,1.542e+05,3.749e+03,1.623e+05
99.1,4.455e+03,1.601e+05,3.427e+03,1.680e+05
100.7,9.420e+03,1.654e+05,2.486e+03,1.773e+05
102.3,1.700e+04,1.697e+05,1.985e+03,1.887e+05
103.9,2.459e+04,1.724e+05,1.879e+03,1.989e+05
105.5,3.152e+04,1.759e+05,2.062e+03,2.095e+05
107.1,3.612e+04,1.785e+05,2.476e+03,2.171e+05
108.7,3.635e+04,1.783e+05,2.796e+03,2.174e+05
110.3,3.518e+04,1.750e+05,2.779e+03,2.129e+05
111.9,3.484e+04,1.695e+05,2.499e+03,2.068e+05
113.5,3.503e+04,1.639e+05,2.033e+03,2.009e+05
115.1,3.151e+04,1.656e+05,1.490e+03,1.986e+05
116.7,2.413e+04,1.766e+05,1.160e+03,2.019e+05
