freq,psd_x,psd_y,psd_z,psd_xyz
118.3,1.775e+04,1.822e+05,9.409e+02,2.009e+05
119.9,1.273e+04,1.651e+05,8.120e+02,1.786e+05
121.5,7.362e+03,1.163e+05,7.032e+02,1.243e+05
123.1,6.002e+03,9.067e+04,6.688e+02,9.734e+04
124.7,6.994e+03,8.070e+04,6.549e+02,8.835e+04
126.3,7.904e+03,6.522e+04,5.519e+02,7.368e+04
127.9,8.442e+03,4.496e+04,3.561e+02,5.376e+04
129.5,8.709e+03,3.134e+04,2.211e+02,4.027e+04
131.1,9.227e+03,2.507e+04,1.190e+02,3.442e+04
132.7,6.736e+03,1.548e+04,8.167e+01,2.230e+04
134.3,1.668e+03,3.294e+03,6.582e+01,5.028e+03
135.9,8.803e+02,1.263e+03,9.689e+01,2.241e+03
137.5,9.895e+02,1.149e+03,1.588e+02,2.297e+03
139.1,7.879e+02,8.961e+02,1.951e+02,1.879e+03
140.7,3.643e+02,6.824e+02,1.530e+02,1.200e+03
142.3,1.445e+02,7.962e+02,1.089e+02,1.049e+03
143.9,1.844e+02,1.239e+03,8.582e+01,1.509e+03
145.5,2.942e+02,1.513e+03,5.959e+01,1.867e+03
147.1,3.400e+02,1.309e+03,4.275e+01,1.692e+03
148.7,3.732e+02,1.051e+03,3.584e+01,1.460e+03
150.3,3.720e+02,9.767e+02,2.975e+01,1.378e+03
151.9,3.479e+02,9.577e+02,2.633e+01,1.332e+03
153.5,3.083e+02,9.271e+02,3.372e+01,1.269e+03
155.1,2.718e+02,9.741e+02,4.241e+01,1.288e+03
156.7,2.508e+02,1.070e+03,5.044e+01,1.371e+03
158.3,3.270e+02,1.458e+03,1.487e+02,1.934e+03
159.9,9.644e+02,2.895e+03,1.330e+02,3.993e+03
161.5,1.982e+03,4.323e+03,8.575e+01,6.391e+03
163.1,2.435e+03,4.677e+03,7.306e+01,7.186e+03
164.7,2.530e+03,4.555e+03,8.907e+01,7.174e+03
166.2,2.722e+03,4.368e+03,1.122e+02,7.202e+03
167.8,3.079e+03,4.008e+03,1.587e+02,7.245e+03
169.4,2.720e+03,3.642e+03,1.778e+02,6.540e+03
171.0,2.563e+03,3.954e+03,1.777e+02,6.695e+03
172.6,2.462e+03,3.964e+03,1.588e+02,6.584e+03
174.2,2.390e+03,3.930e+03,1.446e+02,6.465e+03
175.8,2.748e+03,4.291e+03,1.716e+02,7.211e+03
177.4,3.099e+03,4.485e+03,1.999e+02,7.783e+03
179.0,3.379e+03,4.557e+03,2.056e+02,8.142e+03
180.6,3.627e+03,4.506e+03,1.823e+02,8.316e+03
182.2,4.091e+03,4.593e+03,2.016e+02,8.886e+03
183.8,4.833e+03,4.997e+03,2.335e+02,1.006e+04
185.4,5.680e+03,5.546e+03,2.758e+02,1.150e+04
187.0,6.711e+03,6.134e+03,3.215e+02,1.317e+04
188.6,7.617e+03,6.342e+03,3.727e+02,1.433e+04
190.2,1.097e+04,8.856e+03,4.871e+02,2.032e+04
191.8,1.756e+04,1.405e+04,6.949e+02,3.231e+04
193.4,2.520e+04,1.920e+04,9.707e+02,4.537e+04
195.0,2.722e+04,1.919e+04,1.102e+03,4.752e+04
196.6,2.807e+04,1.823e+04,1.214e+03,4.752e+04
198.2,2.576e+04,1.546e+04,1.216e+03,4.244e+04
199.8,2.470e+04,1.390e+04,1.251e+03,3.985e+04
