freq,psd_x,psd_y,psd_z,psd_xyz
166.2,2.707e+02,1.930e+03,6.965e+02,2.897e+03
167.8,2.409e+02,8.579e+02,7.798e+02,1.879e+03
169.4,2.346e+02,4.736e+02,8.333e+02,1.542e+03
171.0,2.559e+02,3.355e+02,1.010e+03,1.601e+03
172.6,3.453e+02,2.543e+02,1.379e+03,1.979e+03
174.2,4.336e+02,2.235e+02,1.698e+03,2.356e+03
175.8,4.876e+02,2.710e+02,1.941e+03,2.699e+03
177.4,5.453e+02,2.935e+02,2.003e+03,2.841e+03
179.0,6.320e+02,2.826e+02,1.843e+03,2.758e+03
180.6,7.036e+02,3.287e+02,1.394e+03,2.427e+03
182.2,8.888e+02,4.084e+02,1.461e+03,2.758e+03
183.8,1.088e+03,5.118e+02,1.489e+03,3.089e+03
185.4,1.224e+03,6.355e+02,1.205e+03,3.064e+03
187.0,1.512e+03,9.085e+02,9.054e+02,3.326e+03
188.6,1.732e+03,1.299e+03,5.702e+02,3.601e+03
190.2,2.228e+03,2.137e+03,5.174e+02,4.882e+03
191.8,2.415e+03,2.938e+03,1.005e+03,6.357e+03
193.4,2.144e+03,3.531e+03,1.839e+03,7.515e+03
195.0,1.724e+03,3.807e+03,2.399e+03,7.930e+03
196.6,1.382e+03,3.494e+03,2.551e+03,7.427e+03
198.2,9.250e+02,2.525e+03,2.076e+03,5.526e+03
199.8,6.819e+02,1.786e+03,1.953e+03,4.421e+03
