freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.088e+00,5.910e+00,1.611e+02,1.761e+02
1.6,1.368e+01,1.621e+01,9.701e+01,1.269e+02
3.2,1.115e+01,1.733e+01,2.442e+01,5.289e+01
4.8,1.141e+01,1.695e+01,4.178e+02,4.462e+02
6.4,1.172e+01,1.674e+01,1.413e+03,1.441e+03
8.0,1.159e+01,3.234e+01,2.891e+03,2.935e+03
9.6,1.219e+01,4.875e+02,5.657e+03,6.157e+03
11.2,1.112e+01,1.305e+03,4.271e+03,5.587e+03
12.8,1.106e+01,4.211e+02,2.525e+03,2.957e+03
14.4,1.116e+01,3.589e+01,4.054e+03,4.101e+03
16.0,1.208e+01,2.168e+01,6.126e+03,6.160e+03
17.6,1.380e+01,2.635e+01,8.194e+03,8.234e+03
19.2,1.620e+01,3.468e+01,1.069e+04,1.074e+04
20.8,1.806e+01,2.961e+01,1.390e+04,1.395e+04
22.4,2.848e+01,4.113e+01,1.922e+04,1.929e+04
24.0,6.411e+01,1.035e+02,2.745e+04,2.762e+04
25.6,9.496e+01,1.958e+02,3.379e+04,3.408e+04
27.2,1.318e+02,1.905e+02,4.441e+04,4.474e+04
28.8,2.113e+02,1.669e+02,5.858e+04,5.896e+04
30.4,3.380e+02,1.603e+02,8.245e+04,8.295e+04
32.0,5.150e+02,2.082e+02,1.091e+05,1.098e+05
33.6,7.283e+02,2.381e+02,1.149e+05,1.158e+05
35.2,9.157e+02,2.440e+02,9.715e+04,9.831e+04
36.8,1.029e+03,2.776e+02,8.762e+04,8.893e+04
38.3,1.219e+03,3.964e+02,8.022e+04,8.183e+04
39.9,1.944e+03,6.437e+02,1.013e+05,1.039e+05
41.5,3.576e+03,1.037e+03,1.434e+05,1.480e+05
43.1,5.988e+03,1.526e+03,1.896e+05,1.971e+05
44.7,8.697e+03,1.831e+03,2.252e+05,2.357e+05
46.3,9.724e+03,1.602e+03,2.150e+05,2.264e+05
47.9,9.142e+03,1.131e+03,1.758e+05,1.861e+05
49.5,7.685e+03,6.730e+02,1.335e+05,1.418e+05
51.1,6.280e+03,3.614e+02,9.852e+04,1.052e+05
52.7,4.725e+03,1.709e+02,6.366e+04,6.855e+04
54.3,3.970e+03,9.201e+01,4.268e+04,4.675e+04
55.9,5.195e+03,7.497e+01,4.339e+04,4.866e+04
57.5,7.914e+03,1.005e+02,5.299e+04,6.100e+04
59.1,1.172e+04,1.744e+02,6.274e+04,7.463e+04
60.7,1.365e+04,2.124e+02,6.063e+04,7.449e+04
62.3,1.149e+04,1.860e+02,4.357e+04,5.525e+04
63.9,8.751e+03,1.895e+02,2.830e+04,3.724e+04
65.5,6.855e+03,1.757e+02,1.963e+04,2.666e+04
67.1,5.838e+03,2.829e+02,1.533e+04,2.145e+04
68.7,6.105e+03,9.650e+02,1.591e+04,2.298e+04
70.3,7.200e+03,1.393e+03,2.041e+04,2.901e+04
71.9,8.220e+03,1.252e+03,2.520e+04,3.468e+04
73.5,9.267e+03,1.015e+03,2.606e+04,3.634e+04
75.1,1.077e+04,6.085e+02,2.444e+04,3.582e+04
76.7,1.075e+04,5.526e+02,2.072e+04,3.203e+04
78.3,1.047e+04,5.993e+02,1.838e+04,2.945e+04
79.9,9.506e+03,4.765e+02,1.475e+04,2.473e+04
81.5,1.090e+04,3.500e+02,1.500e+04,2.625e+04
83.1,1.176e+04,2.311e+02,1.465e+04,2.664e+04
84.7,1.249e+04,1.986e+02,1.369e+04,2.638e+04
86.3,1.504e+04,3.024e+02,1.253e+04,2.786e+04
87.9,1.523e+04,3.973e+02,8.569e+03,2.419e+04
89.5,1.053e+04,3.539e+02,3.811e+03,1.469e+04
91.1,7.662e+03,2.994e+02,2.124e+03,1.009e+04
92.7,5.805e+03,2.849e+02,1.467e+03,7.556e+03
94.3,3.864e+03,2.927e+02,1.336e+03,5.492e+03
95.9,2.412e+03,2.931e+02,1.209e+03,3.914e+03
97.5,1.577e+03,2.916e+02,1.033e+03,2.901e+03
99.1,1.114e+03,2.568e+02,8.353e+02,2.206e+03
100.7,7.478e+02,2.128e+02,6.532e+02,1.614e+03
102.3,4.201e+02,2.044e+02,5.028e+02,1.127e+03
103.9,3.692e+02,2.153e+02,3.811e+02,9.656e+02
105.5,6.326e+02,2.405e+02,3.606e+02,1.234e+03
107.1,9.506e+02,3.702e+02,3.902e+02,1.711e+03
