freq,psd_x,psd_y,psd_z,psd_xyz
108.7,1.204e+03,6.879e+02,3.847e+02,2.277e+03
110.3,1.597e+03,1.180e+03,3.473e+02,3.124e+03
111.8,2.585e+03,2.268e+03,5.569e+02,5.409e+03
113.4,4.745e+03,6.626e+03,2.201e+03,1.357e+04
115.0,5.905e+03,1.544e+04,3.932e+03,2.528e+04
116.6,4.319e+03,2.605e+04,3.740e+03,3.411e+04
118.2,2.447e+03,2.510e+04,5.052e+03,3.260e+04
119.8,4.986e+03,2.327e+04,4.159e+03,3.241e+04
121.4,6.817e+03,1.464e+04,2.531e+03,2.399e+04
123.0,3.462e+03,1.996e+03,2.330e+03,7.787e+03
124.6,3.162e+03,5.459e+02,2.182e+03,5.890e+03
126.2,4.634e+03,7.654e+02,2.369e+03,7.769e+03
127.8,6.829e+03,1.249e+03,2.756e+03,1.083e+04
129.4,8.974e+03,1.576e+03,3.221e+03,1.377e+04
131.0,9.936e+03,1.530e+03,3.519e+03,1.499e+04
132.6,7.406e+03,1.067e+03,3.054e+03,1.153e+04
134.2,2.269e+03,3.275e+02,1.809e+03,4.406e+03
135.8,7.995e+02,3.614e+02,1.679e+03,2.840e+03
137.4,4.254e+02,6.638e+02,1.905e+03,2.994e+03
139.0,2.512e+02,1.141e+03,2.076e+03,3.468e+03
140.6,2.109e+02,1.835e+03,2.134e+03,4.180e+03
142.2,3.081e+02,2.724e+03,2.369e+03,5.401e+03
143.8,4.127e+02,3.804e+03,2.661e+03,6.877e+03
145.4,4.707e+02,4.672e+03,2.675e+03,7.818e+03
147.0,4.440e+02,4.634e+03,2.230e+03,7.307e+03
148.6,4.559e+02,4.614e+03,1.957e+03,7.027e+03
150.2,3.953e+02,4.025e+03,1.730e+03,6.150e+03
151.8,2.660e+02,2.734e+03,1.744e+03,4.745e+03
153.4,1.600e+02,1.753e+03,1.918e+03,3.831e+03
155.0,1.442e+02,1.469e+03,2.001e+03,3.614e+03
156.6,1.773e+02,1.553e+03,2.000e+03,3.730e+03
158.2,2.298e+02,1.549e+03,2.025e+03,3.804e+03
159.8,2.318e+02,1.240e+03,2.059e+03,3.531e+03
161.4,2.166e+02,9.319e+02,1.866e+03,3.015e+03
163.0,2.756e+02,8.492e+02,2.018e+03,3.143e+03
164.6,3.180e+02,5.434e+02,1.996e+03,2.857e+03
166.2,3.372e+02,6.267e+02,1.823e+03,2.787e+03
167.8,4.188e+02,8.173e+02,1.847e+03,3.083e+03
169.4,4.029e+02,6.985e+02,2.333e+03,3.434e+03
171.0,3.708e+02,5.350e+02,3.208e+03,4.114e+03
172.6,4.211e+02,4.849e+02,3.367e+03,4.273e+03
174.2,4.907e+02,5.354e+02,3.285e+03,4.311e+03
175.8,6.070e+02,5.936e+02,2.880e+03,4.081e+03
177.4,6.695e+02,4.834e+02,2.445e+03,3.597e+03
179.0,1.032e+03,6.485e+02,1.950e+03,3.630e+03
180.6,1.690e+03,1.067e+03,1.687e+03,4.444e+03
182.2,2.406e+03,1.560e+03,1.816e+03,5.782e+03
183.8,3.292e+03,2.281e+03,1.819e+03,7.392e+03
185.4,3.537e+03,2.625e+03,1.521e+03,7.684e+03
186.9,3.246e+03,2.520e+03,1.282e+03,7.048e+03
188.5,2.637e+03,2.149e+03,9.910e+02,5.777e+03
190.1,2.069e+03,1.956e+03,9.030e+02,4.928e+03
191.7,1.817e+03,2.135e+03,1.266e+03,5.217e+03
193.3,1.636e+03,2.198e+03,1.683e+03,5.516e+03
194.9,1.337e+03,1.962e+03,1.788e+03,5.088e+03
196.5,1.147e+03,1.676e+03,1.841e+03,4.664e+03
198.1,9.960e+02,1.412e+03,1.524e+03,3.931e+03
199.7,9.698e+02,1.325e+03,1.405e+03,3.699e+03
